Order ID,Order Date,Origin Port,Carrier,TPT,Service Level,Ship ahead day count,Ship Late Day count,Customer,Product ID,Plant Code,Destination Port,Unit quantity,Weight
1447241002.7,2014-12-23,PORT09,V44_3,1,CRF,3,0,V55555_53,1699336,PLANT16,PORT09,729,60.8
1447398480.7,2015-03-19,PORT09,V44_3,1,CRF,3,0,V55555_53,1702652,PLANT16,PORT09,366,19.54
1447398419.7,2015-04-21,PORT09,V44_3,1,CRF,3,0,V55555_53,1702653,PLANT16,PORT09,539,43.26
1447308591.7,2014-05-07,PORT09,V44_3,1,CRF,3,0,V55555_53,1699337,PLANT16,PORT09,304,9.27
1447241004.7,2015-03-31,PORT09,V44_3,1,CRF,3,0,V55555_53,1699337,PLANT16,PORT09,544,46.35
1447191287.7,2014-07-23,PORT09,V44_3,1,CRF,3,0,V55555_53,1699337,PLANT16,PORT09,679,65.8
1447232830.7,2014-08-27,PORT09,V44_3,1,CRF,3,0,V55555_53,1699336,PLANT16,PORT09,868,101.7
1447377316.7,2013-10-22,PORT09,V44_3,1,CRF,3,0,V55555_53,1702654,PLANT16,PORT09,672,66.8
1447211551.7,2015-03-02,PORT09,V44_3,1,CRF,3,0,V55555_53,1699336,PLANT16,PORT09,890,84.7
1447257265.7,2013-06-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1699336,PLANT16,PORT09,801,78.34
1447365978.7,2014-04-23,PORT09,V44_3,1,CRF,3,0,V55555_53,1702652,PLANT16,PORT09,605,46.35
1447299202.7,2014-05-01,PORT09,V44_3,1,CRF,3,0,V55555_53,1699337,PLANT16,PORT09,897,89.7
1447257424.7,2013-09-24,PORT09,V44_3,1,CRF,3,0,V55555_53,1697883,PLANT16,PORT09,840,83.4
1447260632.7,2014-02-02,PORT09,V44_3,1,CRF,3,0,V55555_53,1697883,PLANT16,PORT09,631,50.68
1447296447.7,2014-06-22,PORT09,V44_3,1,CRF,3,0,V55555_53,1700035,PLANT16,PORT09,1287,15.4
1447363576.7,2014-02-04,PORT09,V44_3,1,CRF,3,0,V55555_53,1700035,PLANT16,PORT09,3308,48.2
1447320236.7,2014-08-24,PORT09,V44_3,1,CRF,3,0,V55555_53,1700035,PLANT16,PORT09,2233,31.26
1447202430.7,2013-09-13,PORT09,V44_3,1,CRF,3,0,V55555_53,1700035,PLANT16,PORT09,1276,16.4
1447211552.7,2015-02-27,PORT09,V44_3,1,CRF,3,0,V55555_53,1700035,PLANT16,PORT09,1325,14.4
